№,секунда,микросекунда
0,28,164324
1,28,181323
2,28,196422
3,28,211736
4,28,226736
5,28,241736
6,28,256736
7,28,271736
8,28,286737
9,28,301738
10,28,316736
11,28,331736
12,28,346737
13,28,361736
14,28,376736
15,28,391736
16,28,406744
17,28,421981
18,28,437427
19,28,452426
20,28,467425
21,28,482424
22,28,497425
23,28,512425
24,28,527425
25,28,542424
26,28,557424
27,28,572429
28,28,587968
29,28,603426
30,28,618427
31,28,633425
32,28,648425
33,28,663425
34,28,678816
35,28,694423
36,28,709639
37,28,724639
38,28,739642
39,28,754639
40,28,769640
41,28,784640
42,28,799422
43,28,814422
44,28,829428
45,28,844425
46,28,859426
47,28,874429
48,28,889434
49,28,904430
50,28,919427
51,28,934429
52,28,949428
53,28,964846
54,28,980423
55,28,995424
56,29,10427
57,29,25426
58,29,40425
59,29,55421
60,29,70421
61,29,85427
62,29,100425
63,29,115425
64,29,130431
65,29,145425
66,29,160426
67,29,175427
68,29,190427
69,29,205425
70,29,220426
71,29,235425
72,29,250425
73,29,265421
74,29,280422
75,29,295428
76,29,310120
77,29,325429
78,29,340429
79,29,355428
80,29,370429
81,29,385429
82,29,400280
83,29,415279
84,29,430280
85,29,445280
86,29,460429
87,29,475425
88,29,490426
89,29,505767
90,29,520768
91,29,535896
92,29,550896
93,29,565895
94,29,581426
95,29,596430
96,29,611427
97,29,626427
98,29,641425
99,29,656425
100,29,671424
101,29,686522
102,29,701521
103,29,716522
104,29,731427
105,29,746428
106,29,761428
107,29,776429
108,29,791427
109,29,806428
110,29,821428
111,29,836429
112,29,851428
113,29,866428
114,29,881428
115,29,896428
116,29,911768
117,29,926769
118,29,941768
119,29,956769
120,29,971767
121,29,986428
122,30,1419
123,30,16425
124,30,31428
125,30,46429
126,30,61426
127,30,76422
128,30,91423
129,30,106423
130,30,121275
131,30,136424
132,30,151423
133,30,166424
134,30,181423
135,30,196423
136,30,211422
137,30,226422
138,30,241422
139,30,256423
140,30,271422
141,30,286422
142,30,301422
143,30,316423
144,30,331423
145,30,346423
146,30,361422
147,30,376423
148,30,391423
149,30,406424
150,30,421425
151,30,436423
152,30,451423
153,30,466475
154,30,481474
155,30,496475
156,30,511422
157,30,526426
158,30,541430
159,30,556433
160,30,571429
161,30,586434
162,30,601427
163,30,616427
164,30,631428
165,30,646426
166,30,661421
167,30,676424
168,30,691424
169,30,706439
170,30,721425
171,30,736430
172,30,751422
173,30,766425
174,30,781425
175,30,796427
176,30,811425
177,30,826424
178,30,841429
179,30,856429
180,30,871425
181,30,886739
182,30,901421
183,30,916423
184,30,931422
185,30,946422
186,30,961422
187,30,976737
188,30,991425
189,31,6423
190,31,21423
191,31,36424
192,31,51423
193,31,66423
194,31,81423
195,31,96427
196,31,111600
197,31,126431
198,31,141426
199,31,156426
200,31,171426
201,31,186426
202,31,201426
203,31,216425
204,31,231425
205,31,246425
206,31,261427
207,31,276426
208,31,291425
209,31,306501
210,31,321424
211,31,336425
212,31,351425
213,31,366425
214,31,381426
215,31,396426
216,31,411425
217,31,426426
218,31,441426
219,31,456427
220,31,471426
221,31,486425
222,31,501427
223,31,516427
224,31,531429
225,31,546427
226,31,561426
227,31,576426
228,31,591425
229,31,606423
230,31,621428
231,31,636423
232,31,651425
233,31,666424
234,31,681427
235,31,696429
236,31,711423
237,31,726425
238,31,742022
239,31,757022
240,31,772425
241,31,787425
242,31,802426
243,31,817425
244,31,832425
245,31,847339
246,31,862338
247,31,877337
248,31,892338
249,31,907337
250,31,922338
251,31,937338
252,31,952341
253,31,967358
254,31,982423
255,31,997908
256,32,12769
257,32,27773
258,32,42772
259,32,57422
260,32,72768
261,32,87760
262,32,102760
263,32,117760
264,32,132759
265,32,147760
266,32,162759
267,32,177759
268,32,192761
269,32,207429
270,32,222434
271,32,237434
272,32,252427
273,32,267426
274,32,282425
275,32,297429
276,32,312425
277,32,327426
278,32,342426
279,32,357425
280,32,372424
281,32,387424
282,32,402422
283,32,417423
284,32,432423
285,32,447424
286,32,462428
287,32,477431
288,32,492431
289,32,507431
290,32,522430
291,32,537429
292,32,552429
293,32,567429
294,32,582429
295,32,597429
296,32,612428
297,32,627434
298,32,642429
299,32,657332
